WellB5,M000,0.0
WellB11,M000,0.0
WellB5,M001,0.05555555555555555
WellB11,M001,0.0
WellB5,M002,0.1111111111111111
WellB11,M002,0.0
WellB5,M003,0.1111111111111111
WellB11,M003,0.047619047619047616
WellB5,M004,0.16666666666666666
WellB11,M004,0.047619047619047616
WellB5,M005,0.2222222222222222
WellB11,M005,0.09523809523809523
WellB5,M006,0.2777777777777778
WellB11,M006,0.14285714285714285
WellB5,M007,0.2777777777777778
WellB11,M007,0.19047619047619047
WellB5,M008,0.2777777777777778
WellB11,M008,0.23809523809523808
WellB5,M009,0.3333333333333333
WellB11,M009,0.2857142857142857
WellB5,M010,0.3888888888888889
WellB11,M010,0.3333333333333333
WellB5,M011,0.4444444444444444
WellB11,M011,0.38095238095238093
WellB5,M012,0.5
WellB11,M012,0.42857142857142855
WellB5,M013,0.5555555555555556
WellB11,M013,0.42857142857142855
WellB5,M014,0.6111111111111112
WellB11,M014,0.42857142857142855
WellB5,M015,0.6666666666666666
WellB11,M015,0.47619047619047616
WellB5,M016,0.7222222222222222
WellB11,M016,0.5238095238095238
WellB5,M017,0.7222222222222222
WellB11,M017,0.5714285714285714
WellB5,M018,0.7222222222222222
WellB11,M018,0.6190476190476191
WellB5,M019,0.7222222222222222
WellB11,M019,0.6666666666666666
WellB5,M020,0.7222222222222222
WellB11,M020,0.7142857142857143
WellB5,M021,0.7222222222222222
WellB11,M021,0.7619047619047619
WellB5,M022,0.7777777777777778
WellB11,M022,0.8095238095238095
WellB5,M023,0.8333333333333334
WellB11,M023,0.8571428571428571
WellB5,M024,0.8888888888888888
WellB11,M024,0.9047619047619048
WellB5,M025,0.9444444444444444
WellB11,M025,0.9523809523809523
WellB5,M026,1.0
WellB11,M026,0.9523809523809523
WellB5,M027,1.0
WellB11,M027,1.0
